condition,profile_id,gender,year_birth,race,education,income,party,donation,newsletter,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,trust_post_1,distrust_1,funding_5,policy_1_1,policy_2_1,policy_3_1,policy_4_1,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,belief_post_1,concern_1_1,concern_2_1,concern_3_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1
control,p00043,1,1982,1,2,3,3,6,No,80,85,90,95,92,88,75,85,80,60,70,65,40,20,50,85,20,90,70,45,55,60,80,35,90,80,85,60,75,50,75,90,80,40,85,90,50,70,20,30,80,60
control,p00044,2,1986,1,2,5,1,9,No,60,70,65,80,85,75,50,55,45,30,20,15,25,10,80,90,5,95,80,85,95,80,75,65,60,50,60,70,90,90,95,90,85,20,80,95,40,60,90,10,70,50
control,p00045,1,1968,1,4,4,1,8,Yes,40,50,60,70,80,90,20,30,40,50,60,70,80,0,90,80,0,90,70,60,70,80,90,50,40,60,50,80,80,20,30,40,50,10,60,70,30,40,50,20,60,70
control,p00046,2,1949,1,2,5,3,7,Yes,80,85,90,95,98,92,78,75,82,60,65,70,40,0,20,80,0,85,75,45,50,55,65,35,90,60,70,80,60,40,50,65,55,0,45,60,25,30,50,20,35,45
control,p00047,2,2008,2,2,1,2,8,Yes,85,88,92,95,96,94,90,91,89,85,87,86,98,2,60,100,50,99,95,90,95,92,98,88,99,95,97,98,100,100,99,98,95,90,97,96,60,80,70,50,90,85
control,p00048,2,1941,1,2,4,3,9,Yes,80,85,90,95,92,88,98,95,96,85,92,90,80,0,70,90,60,95,85,75,80,82,88,65,95,95,98,92,85,70,80,90,85,60,75,82,50,80,65,30,85,70
control,p00049,2,1988,1,3,1,3,8,No,80,85,90,95,92,88,75,80,82,60,55,45,70,20,40,90,20,95,85,50,65,70,80,60,90,80,85,90,85,85,95,98,90,70,80,85,25,30,50,40,80,60
control,p00050,2,1941,3,1,4,2,8,Yes,80,85,90,95,92,88,98,97,94,75,80,85,95,5,30,98,60,90,85,92,95,94,88,80,98,100,99,95,90,80,90,98,92,70,85,95,60,80,40,50,85,60
Corporate reliance,p00051,2,1941,3,2,1,3,8,Yes,80,85,90,95,98,99,96,97,95,80,90,85,92,2,40,98,5,99,97,90,92,94,96,88,98,95,96,90,95,95,98,99,97,80,90,95,30,40,10,20,80,50
Corporate reliance,p00052,2,1996,1,4,3,2,10,Yes,90,95,92,98,96,94,97,99,93,91,95,92,96,2,50,98,10,97,96,85,88,87,95,60,98,99,98,95,99,99,95,98,97,90,92,96,40,60,70,20,80,50
Corporate reliance,p00053,1,1959,2,3,2,1,6,Yes,90,85,92,95,98,96,80,88,92,70,82,90,60,20,10,95,5,90,92,60,65,70,80,55,80,85,90,80,75,95,85,92,88,90,80,95,10,50,20,40,80,30
Corporate reliance,p00054,2,1955,1,5,3,3,8,Yes,95,92,90,98,96,97,94,93,95,88,90,92,80,20,60,90,40,95,80,70,80,75,85,50,90,90,92,95,85,85,90,95,80,60,80,85,70,80,90,50,60,40
Corporate reliance,p00055,1,2004,5,2,1,2,10,No,80,90,85,95,92,96,98,99,97,95,92,90,95,5,60,95,5,98,90,85,90,88,92,80,98,99,97,95,99,92,95,98,90,85,92,95,70,80,90,50,80,60
Corporate reliance,p00056,1,1956,5,2,5,1,10,Yes,95,98,97,99,100,99,85,90,95,60,70,80,98,2,90,100,0,100,90,95,98,97,99,85,100,95,98,99,100,90,100,100,95,80,98,99,20,30,50,70,90,80
Corporate reliance,p00057,1,2002,4,3,4,3,9,Yes,85,90,95,92,96,91,88,89,90,80,82,78,95,5,60,98,30,96,90,70,85,80,95,60,98,92,95,98,95,80,95,90,88,60,70,80,40,90,85,20,95,80
Corporate reliance,p00058,1,1976,5,5,4,3,8,Yes,85,88,92,98,95,96,80,90,85,75,85,88,95,5,40,90,30,85,80,60,75,70,95,50,90,80,90,60,80,70,85,95,80,50,90,80,20,60,10,30,50,40
Corporate reliance,p00059,2,2004,2,2,4,2,8,No,90,95,92,98,97,96,99,98,95,94,92,96,95,2,70,95,5,98,97,90,92,91,93,88,99,100,99,98,98,92,96,95,94,80,90,98,50,85,60,30,90,70
Corporate reliance,p00060,2,1998,2,5,4,2,10,Yes,90,95,92,98,96,99,94,95,93,97,96,98,99,1,75,98,80,95,90,92,90,88,95,85,95,95,96,98,95,92,88,90,85,75,80,92,70,60,85,40,65,55
Corporate reliance,p00061,1,1981,1,4,3,2,8,Yes,90,95,92,98,96,99,97,95,94,90,92,98,99,5,80,98,5,99,95,85,88,90,95,92,95,90,92,85,100,98,100,95,90,92,85,90,60,80,70,50,95,85
Corporate reliance,p00062,1,1986,1,5,4,1,10,Yes,90,95,92,98,96,94,88,90,92,85,95,89,96,2,60,98,20,99,97,80,92,88,95,78,90,92,95,88,85,70,85,98,92,60,88,95,40,80,70,30,85,60
Corporate reliance,p00063,2,2000,2,1,5,1,2,No,90,95,92,98,96,97,60,40,30,5,10,20,80,10,70,70,0,80,50,40,50,30,60,20,80,40,60,30,90,20,10,50,40,0,60,80,0,50,70,90,40,10
Corporate reliance,p00064,1,1984,1,2,3,3,6,Yes,90,92,95,98,99,96,85,90,92,88,92,95,80,0,20,90,50,95,80,80,85,90,95,75,75,85,90,70,70,60,75,85,80,50,70,80,60,75,85,40,65,55
Corporate reliance,p00065,2,2002,2,4,3,2,8,Yes,90,95,92,98,99,97,96,95,94,85,90,88,92,2,50,92,30,95,90,80,85,82,88,70,98,98,99,95,95,85,92,98,90,88,95,92,80,90,85,70,95,90
Corporate reliance,p00066,1,1997,3,4,1,2,6,Yes,95,92,98,99,96,97,91,94,93,90,88,89,98,2,60,95,40,98,92,85,92,88,90,80,95,90,95,85,90,80,95,98,90,70,85,80,50,60,40,30,65,55
Corporate reliance,p00067,2,1997,1,2,5,2,9,Yes,90,92,95,98,96,99,85,88,89,78,76,80,95,5,60,98,5,99,97,92,94,93,91,90,90,95,96,98,98,80,95,98,90,85,88,92,75,80,90,50,85,95
Corporate reliance,p00068,2,1945,1,2,4,2,9,Yes,95,90,92,98,96,97,99,100,95,85,80,70,90,5,20,99,30,98,95,92,95,90,97,80,95,100,98,99,98,90,92,95,97,80,98,99,20,30,50,10,40,60
Corporate reliance,p00069,2,1938,3,3,5,3,9,Yes,95,90,92,98,97,96,99,95,94,92,93,91,98,2,85,98,80,95,92,90,92,91,93,88,99,100,99,98,95,90,95,96,94,88,92,91,70,85,90,60,80,85
Corporate reliance,p00070,2,1977,3,2,4,2,10,Yes,90,95,92,98,99,97,94,96,93,91,99,95,98,2,60,95,20,98,90,85,92,88,95,80,90,98,99,95,95,80,85,90,88,70,75,80,60,65,50,30,75,55
Corporate reliance,p00071,1,1989,1,2,2,2,8,Yes,80,85,90,95,92,88,80,85,90,70,75,80,95,5,60,98,60,95,90,80,85,90,95,70,98,95,100,80,100,85,80,90,95,70,80,85,50,60,40,10,80,20
Corporate reliance,p00072,1,2005,1,2,3,2,10,Yes,80,85,90,95,92,88,98,96,94,99,95,90,100,0,50,100,0,95,90,80,85,90,92,60,98,98,99,95,99,80,95,90,85,70,98,92,75,80,95,65,90,85
Corporate reliance,p00073,1,1981,1,5,3,3,8,Yes,95,92,98,99,97,96,94,95,93,92,99,91,98,0,60,90,60,95,80,80,88,82,95,75,90,85,88,90,85,70,95,98,92,60,80,85,40,80,90,20,60,50
Corporate reliance,p00074,2,1942,1,5,2,2,9,Yes,95,98,99,100,100,100,90,95,98,80,70,50,100,0,20,100,20,80,75,85,88,90,95,60,90,85,90,95,95,80,90,95,85,70,85,80,40,60,30,10,80,50
Corporate reliance,p00075,1,1940,3,3,3,1,8,No,80,85,90,95,92,88,78,82,86,75,80,85,65,10,60,95,10,98,85,85,90,88,92,80,95,90,92,88,70,80,75,95,90,82,85,92,40,50,30,20,60,35
Corporate reliance,p00076,2,1990,1,4,4,3,7,Yes,90,92,95,98,96,99,85,88,92,80,90,95,98,2,60,95,20,98,92,95,92,90,98,75,85,80,85,70,75,50,60,65,45,55,65,70,20,60,30,10,40,25
Corporate reliance,p00077,1,1937,2,1,3,3,8,Yes,80,85,90,95,98,99,80,75,85,70,60,50,90,0,50,100,0,95,80,70,75,80,90,50,95,90,98,80,100,100,95,99,90,70,80,95,20,30,10,0,50,25
Corporate reliance,p00078,1,1998,3,2,2,2,7,Yes,85,90,95,98,96,94,92,99,97,88,80,82,98,2,70,100,5,90,95,85,90,88,92,75,100,98,100,99,95,95,90,98,92,80,96,95,40,60,70,30,90,50
Corporate reliance,p00079,2,1991,1,4,5,1,9,Yes,95,92,98,99,96,97,90,91,94,88,86,89,100,0,20,98,60,99,95,80,90,85,92,75,99,80,90,85,95,70,98,95,92,75,85,90,40,60,80,20,70,50
Corporate reliance,p00080,2,2008,1,5,2,1,8,Yes,90,95,92,98,96,94,85,90,88,82,80,92,95,0,40,98,0,95,92,95,92,88,90,80,90,90,92,85,98,98,95,96,94,90,92,98,20,80,40,50,60,30
Corporate reliance,p00081,2,1965,5,2,1,1,10,Yes,80,85,90,95,92,98,88,96,94,75,92,80,90,5,20,99,0,100,98,92,98,97,95,90,80,95,96,99,95,98,100,99,97,95,99,98,20,80,60,50,90,70
Corporate reliance,p00082,1,1998,5,3,2,2,8,Yes,95,92,98,96,99,97,91,94,93,88,90,89,99,1,60,95,10,98,92,92,96,94,97,91,98,90,97,95,95,94,96,98,99,92,95,97,70,85,65,40,80,75
Corporate reliance,p00083,2,1970,3,2,2,3,8,Yes,90,95,92,98,97,96,99,100,95,90,92,88,98,0,60,95,10,98,92,80,85,82,90,75,95,99,100,90,90,80,95,98,85,70,90,92,40,60,80,20,90,50
Corporate reliance,p00084,2,1948,5,3,4,1,8,Yes,90,95,92,98,99,97,94,96,93,95,99,98,97,3,60,95,80,92,90,92,95,94,90,88,90,98,96,94,80,95,92,90,88,80,85,95,20,30,40,50,60,70
Corporate reliance,p00085,1,1971,3,2,4,3,8,Yes,85,90,92,95,98,96,88,94,93,91,97,92,95,5,60,90,20,95,85,80,85,82,88,70,90,80,85,90,75,70,85,95,80,60,90,95,50,70,85,30,60,40
Corporate reliance,p00086,2,1948,1,3,3,2,10,Yes,85,88,90,92,95,97,98,99,99,50,75,90,100,0,60,100,10,99,98,80,85,90,95,70,95,90,95,100,98,80,70,85,90,60,65,80,20,50,40,10,70,30
Corporate reliance,p00087,1,1983,1,3,2,3,8,Yes,95,92,90,98,96,99,88,91,89,85,87,82,92,5,60,95,70,90,85,78,85,82,88,75,95,92,98,95,80,75,90,95,85,70,80,95,60,65,55,50,75,45
Corporate reliance,p00088,1,1979,3,5,2,3,6,Yes,90,95,92,98,99,97,96,94,93,90,92,91,95,5,50,98,20,99,96,80,90,92,95,75,98,95,97,98,85,80,85,92,90,60,95,98,70,85,90,40,80,60
Corporate reliance,p00089,1,1974,3,3,2,1,8,Yes,90,95,92,98,99,97,85,88,95,80,75,90,70,0,20,100,0,95,80,40,60,80,90,50,95,90,98,60,50,40,70,80,50,30,60,80,20,50,10,90,60,40
Corporate reliance,p00090,2,1958,1,3,3,2,8,Yes,90,95,92,98,99,97,96,95,94,91,93,92,98,2,80,99,4,98,97,92,94,96,95,91,95,95,96,92,98,94,98,99,95,90,93,96,75,92,88,60,95,85
Corporate reliance,p00091,1,2003,1,4,2,3,7,Yes,95,92,98,97,96,94,91,90,93,88,89,85,99,0,60,99,80,98,96,92,94,93,97,85,98,95,97,93,95,90,92,99,98,85,95,94,30,40,20,10,50,25
Corporate reliance,p00092,2,1958,1,2,2,2,8,Yes,85,90,88,95,92,96,80,85,88,75,82,90,98,2,60,96,80,92,90,88,90,89,95,85,95,95,98,85,92,88,92,90,95,80,85,88,60,70,50,20,85,40
Corporate reliance,p00093,2,1978,2,3,4,1,8,Yes,80,85,90,95,92,88,75,82,85,60,65,70,80,20,30,95,20,98,92,80,85,82,90,75,90,85,90,80,85,70,95,98,92,60,80,90,50,85,70,20,60,40
Corporate reliance,p00094,1,1985,2,3,3,2,8,Yes,90,92,95,98,99,97,96,94,93,91,90,95,98,2,60,95,10,99,98,80,85,82,90,50,99,98,100,95,100,90,95,99,98,80,95,90,60,70,30,50,80,40
Corporate reliance,p00095,1,1949,3,2,2,1,7,Yes,80,85,90,95,92,88,76,80,82,78,85,90,60,20,40,85,10,95,90,45,65,60,80,30,80,80,85,70,70,80,75,95,90,60,70,80,30,65,40,10,60,20
Corporate reliance,p00096,2,2007,5,4,2,3,7,No,90,92,95,98,96,97,94,93,91,99,100,96,88,12,50,98,20,99,95,60,65,70,90,40,98,90,92,80,85,70,85,95,90,60,75,80,50,65,40,10,70,30
Corporate reliance,p00097,2,1987,1,2,1,1,8,No,70,75,80,90,95,92,85,88,90,60,65,55,40,10,20,90,20,95,80,30,40,45,50,35,50,70,75,85,60,60,70,80,90,40,50,65,20,30,25,40,50,35
Corporate reliance,p00098,1,1994,3,2,1,1,5,No,80,85,90,95,98,92,88,82,85,78,75,82,65,20,50,90,20,95,85,70,75,80,85,60,90,80,85,90,80,60,70,85,80,40,60,70,20,50,30,10,40,25
Corporate reliance,p00099,2,1994,3,2,1,2,10,Yes,95,90,92,98,97,96,95,94,93,91,90,92,99,1,50,95,50,98,92,85,88,87,90,75,98,90,96,95,100,80,85,92,88,75,90,95,60,70,80,40,90,75
Corporate reliance,p00100,1,1976,1,5,3,3,8,Yes,85,90,95,92,98,96,88,90,95,80,92,85,92,5,60,98,20,92,90,88,92,85,95,80,90,95,98,80,95,85,92,90,95,20,80,85,40,90,60,20,80,50
Social justice,p00101,2,1995,2,2,4,3,9,Yes,90,92,95,98,97,96,99,100,99,95,97,96,98,0,80,100,85,95,90,95,98,96,97,80,100,98,99,100,95,85,90,95,92,80,88,96,75,85,92,60,95,90
Social justice,p00102,1,2005,3,3,4,1,10,Yes,95,90,92,98,96,97,99,100,99,98,99,98,95,0,50,100,75,95,90,85,90,88,92,80,100,95,98,99,100,100,95,100,90,80,85,90,70,80,60,40,85,65
Social justice,p00103,2,1974,1,3,3,3,6,No,95,90,92,98,96,99,94,93,97,88,91,86,98,2,60,100,80,95,90,90,92,91,98,85,100,98,96,94,95,80,85,90,95,70,82,92,40,90,60,50,70,30
Social justice,p00104,1,1997,3,3,2,1,9,Yes,80,85,90,95,92,88,90,85,82,78,92,80,95,0,50,95,70,92,85,85,92,88,90,80,100,90,98,95,90,80,92,95,88,70,85,90,60,75,80,50,85,70
Social justice,p00105,1,1988,1,3,3,2,9,Yes,95,98,97,100,99,96,95,98,97,85,90,88,95,0,75,98,100,97,99,85,90,88,95,75,100,95,98,100,98,92,95,98,96,93,94,99,65,80,90,40,85,80
Social justice,p00106,1,1985,3,1,2,1,8,Yes,90,95,92,98,99,96,100,95,92,80,90,70,60,20,30,100,90,98,95,95,98,97,99,92,100,80,85,90,80,70,75,80,82,85,90,92,20,40,50,60,70,80
Social justice,p00107,2,1948,4,3,3,3,10,Yes,85,90,95,100,98,99,96,97,95,92,94,93,98,2,60,95,80,98,96,80,85,88,92,78,100,100,98,97,90,95,90,99,96,92,98,95,80,85,90,70,88,82
Social justice,p00108,1,1940,1,4,3,3,8,Yes,80,85,90,95,92,88,98,96,94,78,92,85,95,0,70,98,70,95,92,90,95,92,88,85,99,99,100,98,98,90,95,92,88,70,80,90,20,30,50,40,60,10
Social justice,p00109,1,1952,2,4,5,2,9,Yes,95,92,98,99,97,96,94,91,93,90,89,88,99,0,80,99,98,96,94,95,96,97,98,92,98,100,97,99,100,95,96,98,97,91,93,94,67,85,72,46,81,68
Social justice,p00110,2,1980,4,4,3,1,8,Yes,90,95,98,100,99,96,97,94,93,92,91,88,75,10,50,99,70,95,98,85,89,88,92,65,95,90,95,96,90,85,88,92,90,80,82,86,60,85,90,70,95,80
Social justice,p00111,2,1986,2,5,5,3,10,Yes,95,98,97,99,100,99,96,98,97,90,95,92,100,0,60,99,98,99,100,95,98,96,97,85,98,90,95,85,99,96,98,99,97,95,99,96,80,90,85,60,95,90
Social justice,p00112,2,1996,1,3,3,1,10,Yes,80,85,90,95,98,96,92,94,99,88,97,91,100,0,50,100,60,98,99,95,97,96,92,90,99,95,96,97,98,92,95,98,90,85,93,94,60,75,80,40,90,85
Social justice,p00113,2,1953,1,1,2,2,10,No,90,95,92,98,99,97,96,94,93,91,90,95,99,1,70,100,90,98,99,92,94,95,96,88,98,95,97,96,100,100,98,99,95,92,96,97,60,70,80,50,90,85
Social justice,p00114,1,1968,1,3,4,2,10,Yes,95,98,97,99,100,99,95,98,96,90,92,88,99,0,75,90,85,95,92,92,94,93,98,82,98,98,99,96,95,90,95,98,92,80,85,90,75,88,92,60,95,80
Social justice,p00115,1,1965,1,2,5,2,10,Yes,95,92,98,99,97,96,94,93,91,90,88,86,85,0,60,99,98,97,96,75,80,85,90,60,100,95,94,93,98,98,97,96,95,94,93,92,50,80,70,20,60,40
Social justice,p00116,2,1981,1,3,2,2,10,Yes,90,92,95,98,99,97,96,94,93,91,90,89,100,0,80,99,98,96,95,95,96,97,94,92,99,99,100,98,98,97,96,95,94,93,92,91,78,85,88,75,90,82
Social justice,p00117,1,1946,1,2,1,2,8,Yes,95,90,92,98,96,94,97,99,95,93,92,96,99,0,75,98,95,97,99,90,92,94,96,95,98,100,99,98,99,95,96,97,94,93,92,91,80,85,70,60,90,75
Social justice,p00118,1,1951,5,3,2,1,9,Yes,80,85,90,95,92,88,95,96,93,80,85,90,92,5,70,98,92,97,99,85,90,87,95,80,95,95,98,96,98,98,95,97,94,91,99,93,30,40,20,10,60,50
